ID,Source,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,End_Lat,End_Lng,Distance(mi),Description,Street,City,County,State,Zipcode,Country,Timezone,Airport_Code,Weather_Timestamp,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight
A-4898778,Source1,2,2022-03-09T06:56:00.000+08:00,2022-03-09T09:42:57.000+08:00,37.65165925007985,-122.09867119730902,37.64882925007985,-122.09684119730902,0.22,Accident on Winton Ave (I-880) from CA-92/Jackson St (I-880) to Nimitz Fwy S - I-880 S.,I-880,Hayward,Alameda,CA,94545,US,US/Pacific,KHWD,2022-03-09T06:54:00.000+08:00,45.0,43.0,74.0,30.0,10.0,ENE,5.0,0.0,Fair,false,false,false,false,false,false,false,false,false,false,false,false,false,Day,Day,Day,Day
A-5526545,Source1,2,2021-06-18T22:18:00.000+08:00,2021-06-18T23:59:37.000+08:00,30.409336,-91.137886,30.409016,-91.137826,0.022,Incident on ROUZAN AVE near PERKINS RD Drive with caution.,Trottoir St,Baton Rouge,East Baton Rouge,LA,70808,US,US/Central,KBTR,2021-06-18T21:53:00.000+08:00,75.0,75.0,87.0,29.78,10.0,ENE,16.0,0.0,Cloudy,false,false,false,false,false,false,false,false,false,false,false,false,false,Night,Night,Night,Night
A-6754976,Source1,2,2020-11-30T23:51:11.000+08:00,2020-12-01T01:36:10.000+08:00,44.257886,-121.1804,44.253004,-121.183596,0.373,A crash has occurred causing no to minimum delays. Use caution.,S Highway 97,Redmond,Deschutes,OR,97756-9653,US,US/Pacific,KRDM,2020-11-30T23:56:00.000+08:00,25.0,18.0,85.0,27.21,10.0,S,6.0,0.0,Fair,false,false,false,false,false,false,false,false,false,false,false,false,false,Night,Night,Night,Night
A-4664344,Source1,2,2023-01-04T18:37:00.000+08:00,2023-01-04T18:47:30.000+08:00,40.995915,-73.679537,40.992455,-73.677665,0.258,Slow traffic on I-287 E from NY-120A/Bowman Ave/Exit 10 (I-287) to US-1/Exit 11 (I-287) due to accident.,Cross Westchester Expy E,Port Chester,Westchester,NY,10573,US,US/Eastern,KHPN,2023-01-04T18:39:00.000+08:00,55.0,55.0,93.0,29.36,2.0,E,7.0,0.01,Light Rain,false,false,false,false,false,false,false,false,false,false,false,false,false,Night,Night,Night,Night
A-3308375,Source2,2,2017-09-14T17:53:36.000+08:00,2017-09-14T18:38:26.000+08:00,30.481882000000002,-91.096161,,,0.0,Accident on LA-37 Greenwell Springs Rd at Joyce Dr.,Greenwell Springs Rd,Baton Rouge,East Baton Rouge,LA,70814-2563,US,US/Central,KBTR,2017-09-14T17:53:00.000+08:00,82.9,,54.0,29.89,10.0,East,4.6,,Scattered Clouds,false,false,false,false,false,false,false,false,false,false,false,false,false,Day,Day,Day,Day
A-161667,Source2,2,2017-01-04T17:36:33.000+08:00,2017-01-04T18:06:25.000+08:00,41.274174,-96.02385699999999,,,0.01,Accident on 72nd St at Seward St.,N 72nd St,Omaha,Douglas,NE,68114-1923,US,US/Central,KMLE,2017-01-04T17:35:00.000+08:00,13.5,3.3,61.0,30.21,5.0,NNW,6.9,,Light Snow,false,false,false,false,false,false,false,false,false,false,false,true,false,Night,Day,Day,Day
A-1346276,Source2,2,2020-10-19T08:02:02.000+08:00,2020-10-19T09:16:48.000+08:00,38.880081,-76.932289,,,0.0,Accident on Benning Rd at Hanna Pl.,Benning Rd SE,Washington,District of Columbia,DC,20019-6172,US,US/Eastern,KWBC,2020-10-19T07:56:00.000+08:00,53.0,53.0,99.0,29.99,10.0,SE,3.0,0.0,Fair,false,false,true,false,false,false,false,false,false,false,false,false,false,Day,Day,Day,Day
A-1049096,Source2,2,2021-05-12T15:08:36.000+08:00,2021-05-12T15:53:26.000+08:00,29.713938,-95.77372700000001,,,0.0,Left lane blocked due to accident on TX-99 Grand Pkwy Southbound at Fry Rd.,S Grand Pkwy S,Katy,Fort Bend,TX,77494,US,US/Central,KTME,2021-05-12T15:15:00.000+08:00,72.0,72.0,73.0,29.97,9.0,N,14.0,0.0,Cloudy,false,false,false,false,false,false,false,false,false,false,false,false,false,Day,Day,Day,Day
A-5051492,Source1,2,2022-05-22T14:10:03.000+08:00,2022-05-22T16:07:24.000+08:00,40.786138,-74.091796,40.787517,-74.09035,0.122,Crash on New Jersey Turnpike - Western Spur northbound South of Interchange 16W - NJ 3 (Lyndhurst Twp) All lanes open - vehicles on right shoulder,New Jersey Tpke N,Lyndhurst,Bergen,NJ,07071,US,US/Eastern,KTEB,2022-05-22T13:51:00.000+08:00,89.0,89.0,46.0,29.94,10.0,S,12.0,0.0,Fair,false,false,false,false,false,false,false,false,false,false,false,false,false,Day,Day,Day,Day
A-6445641,Source1,2,2021-02-16T12:24:10.000+08:00,2021-02-16T13:41:39.000+08:00,34.237458000000004,-80.662662,34.237342,-80.662541,0.011,Incident on LONGTOWN RD near US-1 Drive with caution.,Highway 1 S,Lugoff,Kershaw,SC,29078-9414,US,US/Eastern,KCDN,2021-02-16T12:15:00.000+08:00,54.0,54.0,54.0,29.58,10.0,SW,14.0,0.0,Fair,false,false,false,false,false,false,false,false,false,false,false,false,false,Day,Day,Day,Day
A-2547028,Source2,2,2018-10-26T17:21:17.000+08:00,2018-10-26T18:06:00.000+08:00,36.124699,-86.78958100000001,,,0.0,Accident on Gilmore Ave at 12th Ave.,Gilmore Ave,Nashville,Davidson,TN,37204-2525,US,US/Central,KBNA,2018-10-26T17:00:00.000+08:00,55.0,,89.0,29.69,5.0,West,6.9,0.0,Light Rain,true,false,true,false,false,false,false,false,false,false,false,false,false,Day,Day,Day,Day
A-3447022,Source1,2,2016-12-06T08:48:44.000+08:00,2016-12-06T14:48:44.000+08:00,41.72552,-72.78145,41.7319,-72.7533,1.517,Between CT-9/Exit 39A and CT-71/New Britain Ave/Exit 40 - Accident.,US-6 E,Farmington,Hartford,CT,06032,US,US/Eastern,KHFD,2016-12-06T08:53:00.000+08:00,35.1,,82.0,30.14,9.0,Calm,,,Clear,false,false,false,false,false,false,false,false,false,false,false,false,false,Day,Day,Day,Day
A-3481223,Source1,2,2016-10-05T15:17:08.000+08:00,2016-10-05T21:17:08.000+08:00,40.81817,-73.28662,40.81854000000001,-73.29316999999998,0.343,At Sagtikos/Sunken Meadow/Exit 44 - Accident.,Northern State Pkwy W,Commack,Suffolk,NY,11725,US,US/Eastern,KFRG,2016-10-05T14:53:00.000+08:00,66.9,,57.0,30.29,10.0,North,,,Clear,false,false,false,false,false,false,false,false,false,false,false,false,false,Day,Day,Day,Day
A-1640311,Source2,2,2020-02-10T07:23:33.000+08:00,2020-02-10T08:10:00.000+08:00,39.711021,-105.10022,,,0.0,Accident on CO-26 Alameda Ave at CR-29 Garrison St.,S Garrison St,Lakewood,Jefferson,CO,80226-2808,US,US/Mountain,KBJC,2020-02-10T07:45:00.000+08:00,16.0,16.0,86.0,24.37,10.0,CALM,0.0,0.0,Partly Cloudy,false,false,true,false,false,false,false,false,false,false,false,true,false,Day,Day,Day,Day
A-3239526,Source2,3,2017-10-11T09:08:13.000+08:00,2017-10-11T10:07:58.000+08:00,36.076893,-87.021011,,,0.0,Accident on I-40 Eastbound after Exit 192 McCrory Ln.,I-40 E,Nashville,Davidson,TN,37221,US,US/Central,KBNA,2017-10-11T08:53:00.000+08:00,69.1,,90.0,30.07,6.0,NW,10.4,,Overcast,false,false,false,false,false,false,false,false,false,false,false,false,false,Day,Day,Day,Day
A-4190938,Source1,2,2022-05-16T07:42:31.000+08:00,2022-05-16T09:00:32.000+08:00,36.854109,-76.292446,36.854112,-76.291957,0.027000000000000003,Incident on W BRAMBLETON AVE near W BRAMBLETON AVE Drive with caution.,W Brambleton Ave,Norfolk,Norfolk (City),VA,23510-1555,US,US/Eastern,KORF,2022-05-16T07:59:00.000+08:00,70.0,70.0,81.0,29.79,10.0,SSW,14.0,0.0,Fair,false,false,false,false,false,false,false,false,false,false,false,false,false,Day,Day,Day,Day
A-2571428,Source2,3,2018-09-07T15:11:37.000+08:00,2018-09-07T15:40:29.000+08:00,34.077663,-117.99818400000001,,,0.0,#4 lane blocked due to accident on I-605 Northbound at Exit 23 Ramona Blvd.,Ramona Blvd,Baldwin Park,Los Angeles,CA,91706,US,US/Pacific,KEMT,2018-09-07T14:45:00.000+08:00,89.6,,40.0,29.92,10.0,SSW,12.7,,Clear,false,false,false,false,false,false,false,false,false,false,false,false,false,Day,Day,Day,Day
A-5934400,Source1,2,2021-09-10T13:45:00.000+08:00,2021-09-10T17:03:30.000+08:00,37.840146,-122.017609,37.860252,-122.03242,1.607,Stationary traffic on I-680 N from El Pintado Rd (I-680) to Livorna Rd (I-680) due to accident.,I-680 N,Alamo,Contra Costa,CA,94507,US,US/Pacific,KCCR,2021-09-10T13:53:00.000+08:00,82.0,82.0,39.0,29.89,10.0,W,10.0,0.0,Fair,false,false,false,false,false,false,false,false,false,false,false,false,false,Day,Day,Day,Day
A-4970518,Source1,2,2023-01-25T16:55:00.000+08:00,2023-01-25T19:27:01.000+08:00,38.742479,-76.87908,38.687998,-76.872366,3.782,Stationary traffic on MD-5 from Surratts Rd (MD-5) to US-301/Short Cut Rd (MD-5) due to accident.,Branch Ave,Clinton,Prince George's,MD,20735,US,US/Eastern,KADW,2023-01-25T16:55:00.000+08:00,45.0,39.0,99.0,29.42,4.0,ESE,12.0,0.05,Light Rain,false,false,false,false,false,false,false,false,false,false,false,false,false,Day,Day,Day,Day
A-2614841,Source2,3,2018-09-28T19:34:11.000+08:00,2018-09-28T20:17:49.000+08:00,29.691767,-95.325928,,,0.0,Left hand shoulder blocked due to accident on i-610 Southbound at South Loop.,Mykawa Rd,Houston,Harris,TX,77033,US,US/Central,KHOU,2018-09-28T19:53:00.000+08:00,78.1,,87.0,30.06,8.0,ESE,8.1,0.0,Light Rain,false,false,false,false,true,false,false,false,false,false,false,false,false,Night,Night,Day,Day
A-2327570,Source2,2,2019-01-09T05:15:17.000+08:00,2019-01-09T05:44:57.000+08:00,47.744476,-116.791977,,,0.0,Lane blocked due to accident on US-95 Northbound at Prairie Ave.,N Highway 95,Hayden,Kootenai,ID,83835,US,US/Pacific,KCOE,2019-01-09T05:22:00.000+08:00,30.2,19.3,100.0,29.9,9.0,NE,15.0,0.01,Light Snow,false,false,true,false,false,false,false,false,false,false,false,true,false,Night,Night,Night,Night
A-6272144,Source1,2,2021-11-13T18:08:00.000+08:00,2021-11-13T21:08:53.000+08:00,28.486787,-81.42019300000003,28.486855,-81.416816,0.205,Slow traffic from Winter Run Dr to Grand Central Pkwy due to accident.,Winter Run Dr,Orlando,Orange,FL,32839,US,US/Eastern,KORL,2021-11-13T18:17:00.000+08:00,69.0,69.0,84.0,29.86,10.0,WNW,8.0,0.0,Mostly Cloudy,false,false,false,false,false,false,false,false,true,false,false,false,false,Night,Night,Day,Day
A-1413787,Source2,2,2020-08-06T07:26:43.000+08:00,2020-08-06T11:23:01.000+08:00,27.208399,-81.32867399999998,,,0.0,Lane blocked due to accident on US-27 Eastbound at FL-70.,US Highway 27 N,Venus,Highlands,FL,33960,US,US/Eastern,KOBE,2020-08-06T07:35:00.000+08:00,73.0,73.0,94.0,29.97,10.0,CALM,0.0,0.0,Fair,false,false,false,false,false,false,false,false,false,false,false,true,false,Day,Day,Day,Day
A-6220169,Source1,2,2021-11-18T09:18:00.000+08:00,2021-11-18T10:51:57.000+08:00,40.654669,-73.906908,40.654797,-73.906054,0.046,Incident on NY-27 NB near ROCKAWAY AVE Road closed. Take alternate route.,Linden Blvd,Brooklyn,Kings,NY,11212,US,US/Eastern,KJRB,2021-11-18T08:51:00.000+08:00,57.0,57.0,72.0,29.96,10.0,VAR,6.0,0.0,Fair,false,false,false,false,false,false,false,false,false,false,false,true,false,Day,Day,Day,Day
A-5466708,Source1,2,2021-08-16T17:00:00.000+08:00,2021-08-16T19:10:22.000+08:00,33.856194,-118.210379,33.856424,-118.210476,0.017,Accident from S Susana Rd to E Maria St.,S Reyes Ave,Compton,Los Angeles,CA,90221-5809,US,US/Pacific,KLGB,2021-08-16T16:53:00.000+08:00,76.0,76.0,69.0,29.72,10.0,S,9.0,0.0,,false,false,false,false,false,false,false,false,false,false,false,false,false,Day,Day,Day,Day
A-1980436,Source2,3,2019-07-22T09:12:28.000+08:00,2019-07-22T09:57:14.000+08:00,34.098946000000005,-80.957726,,,0.0,Accident on SC-277 Southbound at SC-555 Farrow Rd.,I-77 N,Columbia,Richland,SC,29223,US,US/Eastern,KCUB,2019-07-22T08:53:00.000+08:00,81.0,81.0,72.0,29.8,10.0,WSW,8.0,0.0,Fair,false,false,false,false,false,false,false,false,false,false,false,false,false,Day,Day,Day,Day
A-3374733,Source2,2,2017-08-14T10:57:53.000+08:00,2017-08-14T11:27:39.000+08:00,37.581615,-77.49314100000002,,,0.0,Accident on US-250 Broad St at US-33 Staples Mill Rd.,Staples Mill Rd,Richmond,Richmond City,VA,23230,US,US/Eastern,KOFP,2017-08-14T10:54:00.000+08:00,77.0,,74.0,30.02,9.0,Variable,3.5,,Scattered Clouds,false,false,false,false,false,false,false,false,false,false,false,true,false,Day,Day,Day,Day
A-5402423,Source1,2,2022-04-26T11:31:00.000+08:00,2022-04-26T13:34:43.000+08:00,34.11041378958649,-118.26279044094912,34.1147437895865,-118.26799044094912,0.422,Accident on Fletcher Dr (I-5) from Glendale Blvd (I-5) to Golden State Fwy N - I-5 N.,I-5,Los Angeles,Los Angeles,CA,90039,US,US/Pacific,KCQT,2022-04-26T11:47:00.000+08:00,76.0,76.0,36.0,29.71,10.0,CALM,0.0,0.0,Fair,false,false,false,false,false,false,false,false,false,false,false,false,false,Day,Day,Day,Day
A-2003627,Source2,3,2019-08-04T09:31:54.000+08:00,2019-08-04T10:01:33.000+08:00,35.101627,-80.88076,,,0.0,Accident on I-485 both ways at Exits 65 65A 65B Pineville Rd.,I-485 N,Pineville,Mecklenburg,NC,28134,US,US/Eastern,KCLT,2019-08-04T09:52:00.000+08:00,81.0,81.0,72.0,29.21,9.0,CALM,0.0,0.0,Mostly Cloudy,false,false,false,false,false,false,false,false,false,false,false,false,false,Day,Day,Day,Day
A-6533106,Source1,2,2021-02-03T21:36:00.000+08:00,2021-02-04T00:24:19.000+08:00,40.881827,-78.763277,40.88718,-78.752729,0.664,Crash on US 219 both directions between COLONEL DRAKE HW and NEWTONBURG RD. There is a lane restriction.,Colonel Drake Hwy,Mahaffey,Clearfield,PA,15757-7319,US,US/Eastern,KFIG,2021-02-03T21:54:00.000+08:00,25.0,15.0,72.0,28.25,10.0,WNW,10.0,0.0,Fair,false,false,false,false,false,false,false,false,false,false,false,false,false,Night,Night,Night,Night
A-7763110,Source1,2,2019-07-24T05:48:30.000+08:00,2019-07-24T06:18:08.000+08:00,40.69398,-73.81186,40.68884,-73.80897,0.386,At Liberty Ave/Exit 4 - Accident. Lane blocked.,Van Wyck Expy S,South Richmond Hill,Queens,NY,11419,US,US/Eastern,KJFK,2019-07-24T05:51:00.000+08:00,66.0,66.0,100.0,29.91,10.0,NE,3.0,0.0,Mostly Cloudy,false,false,true,true,true,false,false,false,false,false,false,true,false,Day,Day,Day,Day
A-6325946,Source1,2,2021-08-13T08:38:00.000+08:00,2021-08-13T10:48:03.000+08:00,40.94530463199165,-78.5176885124277,40.95638463199165,-78.5197085124277,0.773,Crash on PA 453 both directions between BLOOMINGTON AVE ET and CURWENSVILLE DAM RD. There is a traffic disruption.,Curwensville Tyrone Hwy,Curwensville,Clearfield,PA,16833-6767,US,US/Eastern,KFIG,2021-08-13T08:39:00.000+08:00,67.0,67.0,100.0,28.52,10.0,CALM,0.0,0.0,Partly Cloudy,false,false,false,false,false,false,false,false,false,false,false,false,false,Day,Day,Day,Day
A-1000097,Source2,3,2021-06-17T12:29:05.000+08:00,2021-06-17T13:43:40.000+08:00,39.256572999999996,-84.60073100000002,,,0.0,Left lane blocked due to accident on I-275 Eastbound at Exit 33 US-27 Colerain Ave.,Colerain Ave,Cincinnati,Hamilton,OH,45251,US,US/Eastern,KHAO,2021-06-17T12:53:00.000+08:00,82.0,82.0,39.0,29.41,10.0,W,6.0,0.0,Light Rain,false,false,false,false,false,false,false,false,false,false,false,false,false,Day,Day,Day,Day
A-6803423,Source1,2,2020-11-15T07:50:00.000+08:00,2020-11-15T08:54:30.000+08:00,33.869861,-118.285081,33.857539,-118.284792,0.852,Stationary traffic on I-110 S - Harbor Fwy S from Redondo Beach Blvd (I-110) to I-405/San Diego Fwy (I-110) due to accident.,Harbor Fwy S,Gardena,Los Angeles,CA,90248,US,US/Pacific,KHHR,2020-11-15T07:53:00.000+08:00,57.0,57.0,51.0,30.07,10.0,CALM,0.0,0.0,Fair,false,false,false,false,false,false,false,false,false,false,false,false,false,Day,Day,Day,Day
A-6006703,Source1,2,2021-08-28T16:02:00.000+08:00,2021-08-28T18:17:45.000+08:00,38.650499,-121.061285,38.650683,-121.060936,0.023,Accident from Vine St to South El Dorado.,Rossmore Ln,El Dorado Hills,El Dorado,CA,95762-7126,US,US/Pacific,KMHR,2021-08-28T15:55:00.000+08:00,99.0,99.0,15.0,29.57,5.0,CALM,0.0,,Fair,false,false,false,false,false,false,false,false,false,false,false,false,false,Day,Day,Day,Day
A-6355461,Source1,2,2021-01-26T16:16:13.000+08:00,2021-01-26T17:55:30.000+08:00,25.762286,-80.321523,25.762648,-80.315772,0.359,Stationary traffic on US-41 S from FL-973/87th Ave/Galloway Rd (US-41) to Ludlam Rd/67th Ave (US-41) due to accident.,SW 8th St,Miami,Miami-Dade,FL,33144,US,US/Eastern,KMIA,2021-01-26T15:53:00.000+08:00,80.0,80.0,64.0,30.0,10.0,SE,10.0,0.0,Fair,false,false,false,false,false,false,false,false,false,false,false,false,false,Day,Day,Day,Day
A-5419593,Source1,2,2022-12-21T15:25:30.000+08:00,2022-12-21T16:22:00.000+08:00,36.84221148,-76.21658921,36.84571148,-76.25592921,2.189,Stationary traffic on I-264 W from US-13/Military Hwy/Exit 13-14 (I-264) to Ballentine Blvd/Exit 12 (I-264) due to accident.,I-264,Norfolk,Norfolk (City),VA,23502,US,US/Eastern,KORF,2022-12-21T14:59:00.000+08:00,44.0,40.0,68.0,30.43,10.0,ENE,8.0,0.0,Fair,false,false,false,false,true,false,false,false,false,false,false,false,false,Day,Day,Day,Day
A-1209967,Source2,3,2020-12-30T06:59:04.000+08:00,2020-12-30T07:59:24.000+08:00,35.49851599999999,-80.564171,,,0.0,One lane blocked due to accident on I-85 Southbound at Exit 63 Lane St.,Lane St,Kannapolis,Cabarrus,NC,28083,US,US/Eastern,KJQF,2020-12-30T06:55:00.000+08:00,34.0,34.0,87.0,29.74,10.0,CALM,0.0,0.0,Cloudy,false,false,false,false,false,false,false,false,false,false,false,false,false,Night,Night,Day,Day
A-3831296,Source1,2,2022-08-18T19:21:30.000+08:00,2022-08-18T21:17:00.000+08:00,30.478196,-90.235593,30.459173,-90.183236,3.384,Slow traffic on I-12 E from St Tammany--Tangipahoa County Border (I-12) to LA-1077/Exit 57 (I-12) due to accident.,I-12 E,Madisonville,St. Tammany,LA,70447,US,US/Central,KHDC,2022-08-18T19:24:00.000+08:00,81.0,81.0,84.0,29.88,10.0,CALM,0.0,0.0,Fair,false,false,false,false,false,false,false,false,false,false,false,false,false,Day,Day,Day,Day
A-2206430,Source2,2,2019-03-07T04:52:20.000+08:00,2019-03-07T05:22:08.000+08:00,34.415878,-82.042183,,,0.0,Accident on SC-39 at Smithville Rd.,Smithville Rd,Mountville,Laurens,SC,29370-3023,US,US/Eastern,KLUX,2019-03-07T04:55:00.000+08:00,28.4,23.3,74.0,30.3,10.0,North,4.6,,Clear,false,false,false,false,false,false,false,false,false,false,false,false,false,Night,Night,Night,Night
A-1163996,Source2,3,2021-02-07T10:23:04.000+08:00,2021-02-07T10:52:34.000+08:00,39.53743,-106.141571,,,0.0,Roadway reduced to one lane due to accident on I-70 Westbound at Exit 198 County Road 1220.,County Road 1220,Frisco,Summit,CO,80443,US,US/Mountain,KCCU,2021-02-07T10:18:00.000+08:00,24.0,7.0,40.0,20.51,2.0,W,29.0,0.0,N/A Precipitation,false,false,false,false,false,false,false,false,false,false,false,false,false,Day,Day,Day,Day
A-4542711,Source1,2,2022-04-08T22:08:00.000+08:00,2022-04-08T23:33:49.000+08:00,34.37657100000001,-118.55942,34.376391,-118.557717,0.098,Incident on LA GLORITA CIR near HOUSE 24207 Drive with caution.,La Glorita Cir,Newhall,Los Angeles,CA,91321-2305,US,US/Pacific,K3A6,2022-04-08T21:51:00.000+08:00,81.0,81.0,13.0,29.02,10.0,W,3.0,0.0,Fair,false,false,false,false,false,false,false,false,false,false,false,false,false,Night,Night,Night,Night
